"Column","Min","Max","Mean","Std. deviation","Variance","Skewness","Kurtosis","Overall sum","No. missings","No. NaNs","No. +∞s","No. -∞s","Median","Row count"
"release_year",2000,2024,2015.835751243785,6.166584460292472,38.0267639059206,-0.657877767237215,-0.4480190883018765,202591493.0000004,0,0,0,0,2017,100500
"popularity",0,100,24.761044776119217,18.63759690547883,347.3600184111141,1.3249123890365233,2.110122454820539,2488484.9999999814,0,0,0,0,21,100500
"duration_ms",90000,403583,210117.85333333074,44841.247796586795,2010737503.9549003,0.03168304526573638,-0.07454898613033355,21116844259.99974,0,0,0,0,209968,100500
"danceability",-0.2991909955305875,1.4972831381282536,0.6264684141583914,0.21541226861086538,0.04640244546807962,-0.45356935684438926,0.30790481832439004,61072.5262910591,3013,0,0,0,0.6510196349736374,100500
"energy",-0.2983905585520156,1.4983597887740547,0.6582103363936618,0.2209842509424167,0.048834039164581,-0.6401801967240938,0.6099616638496705,64167.6092743453,3012,0,0,0,0.6835766501641509,100500
"loudness",-89.95374882656765,9.989431503701482,-7.653572798586627,6.197221316395368,38.405552044385146,-6.044447735126508,67.84515750759053,-746100.8906974187,3016,0,0,0,-6.887747736974193,100500
"speechiness",0,0.3684676586282327,0.07656206776602832,0.06536005423185508,0.004271936689191036,1.3277262184959264,1.483363543895037,7463.193803764675,3021,0,0,0,0.06253974363734965,100500
"acousticness",0,1,0.2755883207702741,0.2572829581303003,0.06619452054427784,1.0528864495273065,0.2685622129965808,26868.207745177104,3006,0,0,0,0.19944355084592702,100500
"instrumentalness",0,1,0.15469988737391982,0.23494099304015748,0.05519727021069532,2.0870223097334493,3.531803471980432,15080.145021209704,3020,0,0,0,0.06448046212451491,100500
"liveness",0,0.6023889322397846,0.18068527845684096,0.09678126875985478,0.009366613982767244,0.1755504948503484,-0.3159988448105049,17614.64642620051,3012,0,0,0,0.17927514251370574,100500
"valence",-0.29998586188424986,1.497131608729486,0.5808398139494412,0.1936429396801214,0.03749758808795913,-0.10056380553467631,0.7942168997740576,56624.91178230312,3012,0,0,0,0.5813255038418781,100500
"tempo",0.06176168530634074,419.94621928314945,116.71170000769926,28.6896727751549,823.0973239454643,2.3845170385355505,21.362430070936384,11376356.246550478,3026,0,0,0,115.33419796838825,100500
"key",0,11,5.467970149253763,3.5997772931486653,12.958396560268733,0.011120617712792217,-1.229971868315288,549531.0000000033,0,0,0,0,5,100500
"mode",0,1,0.6198308457711326,0.4854306470623573,0.23564291310737887,-0.4937192624208359,-1.7562762410816473,62292.99999999882,0,0,0,0,1,100500
"time_signature",3,7,4.041213930348228,0.5074916311664771,0.25754775570401167,2.811867915020874,14.285347731164109,406141.9999999969,0,0,0,0,4,100500
